speed(m/s),Acceleration(m/s2),Speed(mph),road_grade(rad),VSP_est,soc_simulation,fuel_est,elec_est
31.584750265700002,0.002174444400001363,70.65319125935497,0.0,11397.17467112723,0.22674737965650787,,-17902.179850221462
31.5370219324,-0.04772833330000381,70.54642584146286,0.0,9781.25104971841,0.22674737965650787,135236.20398006725,-18249.585173135063
31.584648599,0.04762666660000292,70.65296383704707,0.0,12832.677259954284,0.22674737965650787,,-17628.984102742234
31.570142210100002,-0.014506388899999223,70.6205139154611,0.0,10857.649429812069,0.22674737965650787,,-18048.142357601315
31.578598043499998,0.008455833399995782,70.63942910742689,0.0,11590.094223520291,0.22674737965650787,,-17904.252361455077
31.601524432399998,0.022926388900000205,70.69071406381286,0.0,12067.803650601076,0.22674737965650787,,-17782.90806756481
31.5931574879,-0.008366944499996976,70.67199771098304,0.0,11071.57296556869,0.22674737965650787,,-17998.880869082834
31.5755991546,-0.017558333300002005,70.63272077289092,0.0,10766.012455070648,0.22674737965650787,,-18059.58343631126
31.6492377657,0.07363861110000158,70.79744592760497,0.0,13716.071695549821,0.22674737965650787,152095.55045652002,-17576.93412493565
31.5812555435,-0.06798222220000127,70.6453737754769,0.0,9178.449869470393,0.22674737965650787,132955.27135699682,-18451.01177363334
31.636163876799998,0.054908333299998446,70.768200422569,0.0,13110.988582406148,0.22674737965650787,,-17598.452389649265
31.6283077657,-0.007856111099997065,70.75062677340496,0.0,11118.477888544636,0.22674737965650787,,-17999.503309654243
31.590788043499998,-0.03751972220000255,70.66669740602688,0.0,10148.543202347895,0.22674737965650787,136952.1936589601,-18226.788982620725
31.5228313769,-0.0679566665999971,70.51468242024269,0.0,9131.797522285733,0.22674737965650787,132518.41415696213,-18382.471714308682
31.5676244324,0.04479305549999779,70.61488179781286,0.0,12727.410134324666,0.22674737965650787,,-17635.90703316048
31.4337772102,-0.1338472222,70.3154735925848,0.0,6988.585441341603,0.22674737965650787,124978.09001080523,-19095.78259790361
31.3770547102,-0.05672249999999934,70.1885887634348,0.0,9366.59466352784,0.22674737965650787,133470.32065903983,-18326.195003022967
31.2564108214,-0.1206438888000001,69.91871562282252,0.0,7270.655097665068,0.22674737965650787,125642.52860600107,-18907.812263763266
31.1639235992,-0.09248722219999905,69.71182725599445,0.0,8079.395137301867,0.22674737965650787,127927.97635969277,-18506.882397776983
31.1545394325,-0.009384166700002083,69.69083543813655,0.0,10661.217373469251,0.22674737965650787,,-17925.049747405268
31.122489432600002,-0.03204999989999635,69.61914151136025,0.0,9928.526344122818,0.22674737965650787,135514.181430608,-18107.500379036785
31.1465072103,0.024017777699999243,69.67286783900849,0.0,11694.73140622166,0.22674737965650787,,-17768.025192098634
31.0659958215,-0.08051138880000153,69.49276869294621,0.0,8376.350266491603,0.22674737965650787,129318.71116154702,-18506.05577043231
31.2564891547,0.19049333319999917,69.91889084971461,0.0,16995.770690363504,0.22674737965650787,166985.37305796478,-16985.939335151863
31.164131099200002,-0.09235805549999654,69.71229142104445,0.0,8083.580093002597,0.22674737965650787,128649.4710215253,-18727.750460276122
31.1976580436,0.03352694439999837,69.78728918405059,0.0,12036.714190367064,0.22674737965650787,,-17841.340355859094
31.268446099200002,0.07078805560000134,69.94563781714446,0.0,13265.40877693017,0.22674737965650787,,-17479.145550381367
31.230087210300002,-0.0383588888999995,69.8598312842085,0.0,9820.818564815436,0.22674737965650787,135437.38274359633,-18252.59705098461
31.237184710300003,0.007097500000000423,69.8757079658585,0.0,11246.614717672612,0.22674737965650787,,-17928.654276426863
31.242834710300002,0.005649999999999267,69.88834667685849,0.0,11206.3193573375,0.22674737965650787,,-17874.435841306433
31.1705758214,-0.0722588889000022,69.72670787792252,0.0,8715.041168436781,0.22674737965650787,130680.57449396304,-18430.100115404304
31.231333321399998,0.06075749999999758,69.86261875997252,0.0,12917.38535947561,0.22674737965650787,,-17543.308568010085
31.2029647103,-0.02836861109999589,69.7991598790585,0.0,10110.148644193505,0.22674737965650787,136554.35595486022,-18158.087432907363
31.2623427658,0.059378055499998084,69.93198502652865,0.0,12902.98517895621,0.22674737965650787,,-17571.94472218276
31.2833849881,0.02104222230000019,69.97905521528043,0.0,11723.199540679592,0.22674737965650787,,-17824.835266015503
31.2857097103,0.002324722200000906,69.9842554793585,0.0,11139.674574269273,0.22674737965650787,,-17965.819426493603
31.201357793000003,-0.08435191729999758,69.79556530147343,0.0,8362.051630569656,0.22674737965650787,129325.11664382258,-18529.37745784922
31.076819300300002,-0.12453849270000106,69.51698016561309,0.0,7016.533891907912,0.22674737965650787,124787.40806332396,-18998.74670246407
31.0006420542,-0.0761772461000021,69.34657623672216,0.0,8460.073753538802,0.22674737965650787,129225.960349902,-18351.59468843717
31.061373876999998,0.06073182279999756,69.48242968041637,0.0,12759.970574173834,0.22674737965650787,,-17516.355217115844
