VSP_w,eng_on,mot_control,HVAC_adjust_rate,t_value,delta_elec_energy_rate
-46000,1,1,0.598350349,7.657621935,299.1751745
-45000,1,1,0.598350349,7.657621935,299.1751745
-44000,1,1,0.598350349,7.657621935,299.1751745
-43000,1,1,0.598350349,7.657621935,299.1751745
-42000,1,1,0.598350349,7.657621935,299.1751745
-41000,1,1,0.598350349,7.657621935,299.1751745
-40000,1,1,0.598350349,7.657621935,299.1751745
-39000,1,1,0.598350349,7.657621935,299.1751745
-38000,1,1,0.598350349,7.657621935,299.1751745
-37000,1,1,0.598350349,7.657621935,299.1751745
-36000,1,1,0.598350349,7.657621935,299.1751745
-35000,1,1,0.598350349,7.657621935,299.1751745
-34000,1,1,0.598350349,7.657621935,299.1751745
-33000,1,1,0.598350349,7.657621935,299.1751745
-32000,1,1,0.598350349,7.657621935,299.1751745
-31000,1,1,0.598350349,7.657621935,299.1751745
-30000,1,1,0.598350349,7.657621935,299.1751745
-29000,1,1,0.598350349,7.657621935,299.1751745
-28000,1,1,0.598350349,7.657621935,299.1751745
-27000,1,1,0.598350349,7.657621935,299.1751745
-26000,1,1,0.598350349,7.657621935,299.1751745
-25000,1,1,0.598350349,7.657621935,299.1751745
-24000,1,1,0.598350349,7.657621935,299.1751745
-23000,1,1,0.598350349,7.657621935,299.1751745
-22000,1,1,0.598350349,7.657621935,299.1751745
-21000,1,1,0.598350349,7.657621935,299.1751745
-20000,1,1,0.598350349,7.657621935,299.1751745
-19000,1,1,0.598350349,7.657621935,299.1751745
-18000,1,1,0.598350349,7.657621935,299.1751745
-17000,1,1,0.598350349,7.657621935,299.1751745
-16000,1,1,0.598350349,7.657621935,299.1751745
-15000,1,1,0.598350349,7.657621935,299.1751745
-14000,1,1,0.598350349,7.657621935,299.1751745
-11000,1,1,0.598350349,7.657621935,299.1751745
-12000,1,1,0.598350349,7.657621935,299.1751745
-13000,1,1,0.598350349,7.657621935,299.1751745
-60000,1,0,0,-1.349592017,0
-59000,1,0,0,-1.349592017,0
-58000,1,0,0,-1.349592017,0
-57000,1,0,0,-1.349592017,0
-56000,1,0,0,-1.349592017,0
-55000,1,0,0,-1.349592017,0
-54000,1,0,0,-1.349592017,0
-53000,1,0,0,-1.349592017,0
-52000,1,0,0,-1.349592017,0
-51000,1,0,0,-1.349592017,0
-50000,1,0,0,-1.349592017,0
-49000,1,0,0,-1.349592017,0
-48000,1,0,0,-1.349592017,0
-47000,1,0,0,-1.349592017,0
-46000,1,0,0,-1.349592017,0
-45000,1,0,0,-1.349592017,0
-44000,1,0,0,-1.349592017,0
-43000,1,0,0,-1.349592017,0
-42000,1,0,0,-1.349592017,0
-41000,1,0,0,-1.349592017,0
-40000,1,0,0,-1.349592017,0
-39000,1,0,0,-1.349592017,0
-38000,1,0,0,-1.349592017,0
-37000,1,0,0,-1.349592017,0
-36000,1,0,0,-1.349592017,0
-35000,1,0,0,-1.349592017,0
-34000,1,0,0,-1.349592017,0
-33000,1,0,0,-1.349592017,0
-32000,1,0,0,-1.349592017,0
-31000,1,0,0,-1.349592017,0
-30000,1,0,0,-1.349592017,0
-29000,1,0,0,-1.349592017,0
-28000,1,0,0,-1.349592017,0
-27000,1,0,0,-1.349592017,0
-26000,1,0,0,-1.349592017,0
-25000,1,0,0,-1.349592017,0
-24000,1,0,0,-1.349592017,0
-23000,1,0,0,-1.349592017,0
-22000,1,0,0,-1.349592017,0
-21000,1,0,0,-1.349592017,0
-20000,1,0,0,-1.349592017,0
-19000,1,0,0,-1.349592017,0
-18000,1,0,0,-1.349592017,0
-17000,1,0,0,-1.349592017,0
-16000,1,0,0,-1.349592017,0
-15000,1,0,0,-1.349592017,0
-14000,1,0,0,-1.349592017,0
