VSP_w,mot_control,HVAC_adjust_rate,t_value,delta_fuel_energy_rate
51000,0,3.534931808,39.33291241,1767.465904
52000,0,3.534931808,39.33291241,1767.465904
53000,0,3.534931808,39.33291241,1767.465904
54000,0,3.534931808,39.33291241,1767.465904
55000,0,3.534931808,39.33291241,1767.465904
56000,0,3.534931808,39.33291241,1767.465904
57000,0,3.534931808,39.33291241,1767.465904
58000,0,3.534931808,39.33291241,1767.465904
59000,0,3.534931808,39.33291241,1767.465904
60000,0,3.534931808,39.33291241,1767.465904
19000,1,0,-0.626208733,0
18000,1,0,-0.626208733,0
17000,1,0,-0.626208733,0
20000,1,0,-0.626208733,0
21000,1,0,-0.626208733,0
22000,1,0,-0.626208733,0
23000,1,0,-0.626208733,0
24000,1,0,-0.626208733,0
25000,1,0,-0.626208733,0
26000,1,0,-0.626208733,0
27000,1,0,-0.626208733,0
28000,1,0,-0.626208733,0
29000,1,0,-0.626208733,0
30000,1,0,-0.626208733,0
31000,1,0,-0.626208733,0
32000,1,0,-0.626208733,0
33000,1,0,-0.626208733,0
34000,1,0,-0.626208733,0
35000,1,0,-0.626208733,0
36000,1,0,-0.626208733,0
37000,1,0,-0.626208733,0
38000,1,0,-0.626208733,0
39000,1,0,-0.626208733,0
40000,1,0,-0.626208733,0
41000,1,0,-0.626208733,0
42000,1,0,-0.626208733,0
43000,1,0,-0.626208733,0
44000,1,0,-0.626208733,0
45000,1,0,-0.626208733,0
46000,1,0,-0.626208733,0
47000,1,0,-0.626208733,0
48000,1,0,-0.626208733,0
49000,1,0,-0.626208733,0
50000,1,0,-0.626208733,0
51000,1,0,-0.626208733,0
52000,1,0,-0.626208733,0
53000,1,0,-0.626208733,0
54000,1,0,-0.626208733,0
55000,1,0,-0.626208733,0
56000,1,0,-0.626208733,0
57000,1,0,-0.626208733,0
58000,1,0,-0.626208733,0
59000,1,0,-0.626208733,0
60000,1,0,-0.626208733,0
