VSP_w,eng_on,mot_control,HVAC_adjust_rate,t_value,delta_elec_energy_rate
42000,1,0,0,-1.842175125,0
43000,1,0,0,-1.842175125,0
44000,1,0,0,-1.842175125,0
45000,1,0,0,-1.842175125,0
46000,1,0,0,-1.842175125,0
47000,1,0,0,-1.842175125,0
48000,1,0,0,-1.842175125,0
49000,1,0,0,-1.842175125,0
50000,1,0,0,-1.842175125,0
51000,1,0,0,-1.842175125,0
52000,1,0,0,-1.842175125,0
53000,1,0,0,-1.842175125,0
54000,1,0,0,-1.842175125,0
55000,1,0,0,-1.842175125,0
56000,1,0,0,-1.842175125,0
57000,1,0,0,-1.842175125,0
58000,1,0,0,-1.842175125,0
59000,1,0,0,-1.842175125,0
60000,1,0,0,-1.842175125,0
19000,1,1,0,0.318985217,0
18000,1,1,0,0.318985217,0
17000,1,1,0,0.318985217,0
20000,1,1,0,0.318985217,0
21000,1,1,0,0.318985217,0
22000,1,1,0,0.318985217,0
23000,1,1,0,0.318985217,0
24000,1,1,0,0.318985217,0
25000,1,1,0,0.318985217,0
26000,1,1,0,0.318985217,0
27000,1,1,0,0.318985217,0
28000,1,1,0,0.318985217,0
29000,1,1,0,0.318985217,0
30000,1,1,0,0.318985217,0
31000,1,1,0,0.318985217,0
32000,1,1,0,0.318985217,0
33000,1,1,0,0.318985217,0
34000,1,1,0,0.318985217,0
35000,1,1,0,0.318985217,0
36000,1,1,0,0.318985217,0
37000,1,1,0,0.318985217,0
38000,1,1,0,0.318985217,0
39000,1,1,0,0.318985217,0
40000,1,1,0,0.318985217,0
41000,1,1,0,0.318985217,0
42000,1,1,0,0.318985217,0
43000,1,1,0,0.318985217,0
44000,1,1,0,0.318985217,0
45000,1,1,0,0.318985217,0
46000,1,1,0,0.318985217,0
47000,1,1,0,0.318985217,0
48000,1,1,0,0.318985217,0
49000,1,1,0,0.318985217,0
50000,1,1,0,0.318985217,0
51000,1,1,0,0.318985217,0
52000,1,1,0,0.318985217,0
53000,1,1,0,0.318985217,0
54000,1,1,0,0.318985217,0
55000,1,1,0,0.318985217,0
56000,1,1,0,0.318985217,0
57000,1,1,0,0.318985217,0
58000,1,1,0,0.318985217,0
59000,1,1,0,0.318985217,0
60000,1,1,0,0.318985217,0
17000,0,1,-2.827411909,-3.248889943,-1413.705955
18000,0,1,-2.827411909,-3.248889943,-1413.705955
19000,0,1,-2.827411909,-3.248889943,-1413.705955
20000,0,1,-2.827411909,-3.248889943,-1413.705955
21000,0,1,-2.827411909,-3.248889943,-1413.705955
22000,0,1,-2.827411909,-3.248889943,-1413.705955
23000,0,1,-2.827411909,-3.248889943,-1413.705955
24000,0,1,-2.827411909,-3.248889943,-1413.705955
25000,0,1,-2.827411909,-3.248889943,-1413.705955
26000,0,1,-2.827411909,-3.248889943,-1413.705955
27000,0,1,-2.827411909,-3.248889943,-1413.705955
28000,0,1,-2.827411909,-3.248889943,-1413.705955
29000,0,1,-2.827411909,-3.248889943,-1413.705955
30000,0,1,-2.827411909,-3.248889943,-1413.705955
31000,0,1,-2.827411909,-3.248889943,-1413.705955
32000,0,1,-2.827411909,-3.248889943,-1413.705955
33000,0,1,-2.827411909,-3.248889943,-1413.705955
34000,0,1,-2.827411909,-3.248889943,-1413.705955
35000,0,1,-2.827411909,-3.248889943,-1413.705955
36000,0,1,-2.827411909,-3.248889943,-1413.705955
37000,0,1,-2.827411909,-3.248889943,-1413.705955
38000,0,1,-2.827411909,-3.248889943,-1413.705955
39000,0,1,-2.827411909,-3.248889943,-1413.705955
40000,0,1,-2.827411909,-3.248889943,-1413.705955
41000,0,1,-2.827411909,-3.248889943,-1413.705955
42000,0,1,-2.827411909,-3.248889943,-1413.705955
43000,0,1,-2.827411909,-3.248889943,-1413.705955
44000,0,1,-2.827411909,-3.248889943,-1413.705955
45000,0,1,-2.827411909,-3.248889943,-1413.705955
46000,0,1,-2.827411909,-3.248889943,-1413.705955
47000,0,1,-2.827411909,-3.248889943,-1413.705955
48000,0,1,-2.827411909,-3.248889943,-1413.705955
49000,0,1,-2.827411909,-3.248889943,-1413.705955
50000,0,1,-2.827411909,-3.248889943,-1413.705955
51000,0,1,-2.827411909,-3.248889943,-1413.705955
52000,0,1,-2.827411909,-3.248889943,-1413.705955
53000,0,1,-2.827411909,-3.248889943,-1413.705955
54000,0,1,-2.827411909,-3.248889943,-1413.705955
55000,0,1,-2.827411909,-3.248889943,-1413.705955
56000,0,1,-2.827411909,-3.248889943,-1413.705955
57000,0,1,-2.827411909,-3.248889943,-1413.705955
58000,0,1,-2.827411909,-3.248889943,-1413.705955
59000,0,1,-2.827411909,-3.248889943,-1413.705955
60000,0,1,-2.827411909,-3.248889943,-1413.705955
