VSP_w,eng_on,mot_control,HVAC_adjust_rate,t_value,delta_elec_energy_rate
-47000,1,1,0.958472605,33.55792056,479.2363025
-46000,1,1,0.958472605,33.55792056,479.2363025
-45000,1,1,0.958472605,33.55792056,479.2363025
-44000,1,1,0.958472605,33.55792056,479.2363025
-43000,1,1,0.958472605,33.55792056,479.2363025
-42000,1,1,0.958472605,33.55792056,479.2363025
-41000,1,1,0.958472605,33.55792056,479.2363025
-40000,1,1,0.958472605,33.55792056,479.2363025
-39000,1,1,0.958472605,33.55792056,479.2363025
-38000,1,1,0.958472605,33.55792056,479.2363025
-37000,1,1,0.958472605,33.55792056,479.2363025
-36000,1,1,0.958472605,33.55792056,479.2363025
-35000,1,1,0.958472605,33.55792056,479.2363025
-34000,1,1,0.958472605,33.55792056,479.2363025
-33000,1,1,0.958472605,33.55792056,479.2363025
-32000,1,1,0.958472605,33.55792056,479.2363025
-31000,1,1,0.958472605,33.55792056,479.2363025
-30000,1,1,0.958472605,33.55792056,479.2363025
-29000,1,1,0.958472605,33.55792056,479.2363025
-28000,1,1,0.958472605,33.55792056,479.2363025
-27000,1,1,0.958472605,33.55792056,479.2363025
-26000,1,1,0.958472605,33.55792056,479.2363025
-25000,1,1,0.958472605,33.55792056,479.2363025
-24000,1,1,0.958472605,33.55792056,479.2363025
-23000,1,1,0.958472605,33.55792056,479.2363025
-22000,1,1,0.958472605,33.55792056,479.2363025
-21000,1,1,0.958472605,33.55792056,479.2363025
-20000,1,1,0.958472605,33.55792056,479.2363025
-19000,1,1,0.958472605,33.55792056,479.2363025
-18000,1,1,0.958472605,33.55792056,479.2363025
-17000,1,1,0.958472605,33.55792056,479.2363025
-16000,1,1,0.958472605,33.55792056,479.2363025
-15000,1,1,0.958472605,33.55792056,479.2363025
-14000,1,1,0.958472605,33.55792056,479.2363025
-11000,1,1,0.958472605,33.55792056,479.2363025
-12000,1,1,0.958472605,33.55792056,479.2363025
-13000,1,1,0.958472605,33.55792056,479.2363025
-10000,0,0,1.053374434,114.0023404,526.687217
-9000,0,0,1.053374434,114.0023404,526.687217
-8000,0,0,1.053374434,114.0023404,526.687217
-8000,1,0,1.033866636,620.0403661,516.933318
-9000,1,0,1.033866636,620.0403661,516.933318
-10000,1,0,1.033866636,620.0403661,516.933318
-8000,1,1,0.958472605,33.55792056,479.2363025
-9000,1,1,0.958472605,33.55792056,479.2363025
-10000,1,1,0.958472605,33.55792056,479.2363025
-7000,0,0,1.030295683,103.7360426,515.1478415
-6000,0,0,1.030295683,103.7360426,515.1478415
