VSP_w,mot_control,HVAC_adjust_rate,t_value,delta_fuel_energy_rate
-10000,0,-0.627227136,-4.101118844,-313.613568
-8000,1,2.872140694,16.87387767,1436.070347
-9000,1,2.872140694,16.87387767,1436.070347
-10000,1,2.872140694,16.87387767,1436.070347
-5000,0,-0.58757413,-7.17897361,-293.787065
-6000,0,-0.58757413,-7.17897361,-293.787065
-7000,0,-0.58757413,-7.17897361,-293.787065
-5000,1,2.872140694,16.87387767,1436.070347
-6000,1,2.872140694,16.87387767,1436.070347
-7000,1,2.872140694,16.87387767,1436.070347
-2000,0,0.406876987,2.286939252,203.4384935
-3000,0,0.406876987,2.286939252,203.4384935
-4000,0,0.406876987,2.286939252,203.4384935
-2000,1,2.872140694,16.87387767,1436.070347
-3000,1,2.872140694,16.87387767,1436.070347
-4000,1,2.872140694,16.87387767,1436.070347
1000,0,2.098357909,14.92362873,1049.178955
0,0,2.098357909,14.92362873,1049.178955
-1000,0,2.098357909,14.92362873,1049.178955
1000,1,2.872140694,16.87387767,1436.070347
0,1,2.872140694,16.87387767,1436.070347
-1000,1,2.872140694,16.87387767,1436.070347
4000,0,3.077746151,61.24746143,1538.873076
3000,0,3.077746151,61.24746143,1538.873076
2000,0,3.077746151,61.24746143,1538.873076
4000,1,2.522821799,15.47886723,1261.4109
3000,1,2.522821799,15.47886723,1261.4109
2000,1,2.522821799,15.47886723,1261.4109
7000,0,2.925095035,53.73504097,1462.547518
6000,0,2.925095035,53.73504097,1462.547518
5000,0,2.925095035,53.73504097,1462.547518
7000,1,3.267699202,45.54232306,1633.849601
6000,1,3.267699202,45.54232306,1633.849601
5000,1,3.267699202,45.54232306,1633.849601
10000,0,3.118208235,29.11339168,1559.104118
9000,0,3.118208235,29.11339168,1559.104118
8000,0,3.118208235,29.11339168,1559.104118
10000,1,3.176737864,57.30931526,1588.368932
9000,1,3.176737864,57.30931526,1588.368932
8000,1,3.176737864,57.30931526,1588.368932
13000,0,2.488446512,35.9097343,1244.223256
12000,0,2.488446512,35.9097343,1244.223256
11000,0,2.488446512,35.9097343,1244.223256
13000,1,3.179036528,59.33071029,1589.518264
12000,1,3.179036528,59.33071029,1589.518264
11000,1,3.179036528,59.33071029,1589.518264
16000,0,2.643049857,19.45376232,1321.524929
15000,0,2.643049857,19.45376232,1321.524929
14000,0,2.643049857,19.45376232,1321.524929
16000,1,2.534110616,28.13187495,1267.055308
15000,1,2.534110616,28.13187495,1267.055308
14000,1,2.534110616,28.13187495,1267.055308
19000,0,1.586300885,23.51825795,793.1504425
18000,0,1.586300885,23.51825795,793.1504425
17000,0,1.586300885,23.51825795,793.1504425
20000,0,1.586300885,23.51825795,793.1504425
21000,0,1.586300885,23.51825795,793.1504425
22000,0,1.586300885,23.51825795,793.1504425
23000,0,1.586300885,23.51825795,793.1504425
24000,0,1.586300885,23.51825795,793.1504425
25000,0,1.586300885,23.51825795,793.1504425
26000,0,1.586300885,23.51825795,793.1504425
27000,0,1.586300885,23.51825795,793.1504425
28000,0,1.586300885,23.51825795,793.1504425
29000,0,1.586300885,23.51825795,793.1504425
30000,0,1.586300885,23.51825795,793.1504425
31000,0,1.586300885,23.51825795,793.1504425
32000,0,1.586300885,23.51825795,793.1504425
33000,0,1.586300885,23.51825795,793.1504425
34000,0,1.586300885,23.51825795,793.1504425
35000,0,1.586300885,23.51825795,793.1504425
36000,0,1.586300885,23.51825795,793.1504425
37000,0,1.586300885,23.51825795,793.1504425
38000,0,1.586300885,23.51825795,793.1504425
39000,0,1.586300885,23.51825795,793.1504425
40000,0,1.586300885,23.51825795,793.1504425
41000,0,1.586300885,23.51825795,793.1504425
42000,0,1.586300885,23.51825795,793.1504425
43000,0,1.586300885,23.51825795,793.1504425
44000,0,1.586300885,23.51825795,793.1504425
45000,0,1.586300885,23.51825795,793.1504425
46000,0,1.586300885,23.51825795,793.1504425
47000,0,1.586300885,23.51825795,793.1504425
48000,0,1.586300885,23.51825795,793.1504425
49000,0,1.586300885,23.51825795,793.1504425
50000,0,1.586300885,23.51825795,793.1504425
51000,0,1.586300885,23.51825795,793.1504425
52000,0,1.586300885,23.51825795,793.1504425
53000,0,1.586300885,23.51825795,793.1504425
54000,0,1.586300885,23.51825795,793.1504425
