,VSP_w,mot_control,HVAC_adjust_rate,t_value,delta_fuel_energy_rate
179,45000,0,1.590344708,574.6276215,795.172354
180,46000,0,1.590344708,574.6276215,795.172354
181,47000,0,1.590344708,574.6276215,795.172354
182,48000,0,1.590344708,574.6276215,795.172354
183,49000,0,1.590344708,574.6276215,795.172354
184,50000,0,1.590344708,574.6276215,795.172354
185,51000,0,1.590344708,574.6276215,795.172354
186,52000,0,1.590344708,574.6276215,795.172354
187,53000,0,1.590344708,574.6276215,795.172354
188,54000,0,1.590344708,574.6276215,795.172354
189,55000,0,1.590344708,574.6276215,795.172354
190,56000,0,1.590344708,574.6276215,795.172354
191,57000,0,1.590344708,574.6276215,795.172354
192,58000,0,1.590344708,574.6276215,795.172354
193,59000,0,1.590344708,574.6276215,795.172354
194,60000,0,1.590344708,574.6276215,795.172354
195,19000,1,2.293112566,146.5323693,1146.556283
196,18000,1,2.293112566,146.5323693,1146.556283
197,17000,1,2.293112566,146.5323693,1146.556283
198,20000,1,2.293112566,146.5323693,1146.556283
199,21000,1,2.293112566,146.5323693,1146.556283
200,22000,1,2.293112566,146.5323693,1146.556283
201,23000,1,2.293112566,146.5323693,1146.556283
202,24000,1,2.293112566,146.5323693,1146.556283
203,25000,1,2.293112566,146.5323693,1146.556283
204,26000,1,2.293112566,146.5323693,1146.556283
205,27000,1,2.293112566,146.5323693,1146.556283
206,28000,1,2.293112566,146.5323693,1146.556283
207,29000,1,2.293112566,146.5323693,1146.556283
208,30000,1,2.293112566,146.5323693,1146.556283
209,31000,1,2.293112566,146.5323693,1146.556283
210,32000,1,2.293112566,146.5323693,1146.556283
211,33000,1,2.293112566,146.5323693,1146.556283
212,34000,1,2.293112566,146.5323693,1146.556283
213,35000,1,2.293112566,146.5323693,1146.556283
214,36000,1,2.293112566,146.5323693,1146.556283
215,37000,1,2.293112566,146.5323693,1146.556283
216,38000,1,2.293112566,146.5323693,1146.556283
217,39000,1,2.293112566,146.5323693,1146.556283
218,40000,1,2.293112566,146.5323693,1146.556283
219,41000,1,2.293112566,146.5323693,1146.556283
220,42000,1,2.293112566,146.5323693,1146.556283
221,43000,1,2.293112566,146.5323693,1146.556283
222,44000,1,2.293112566,146.5323693,1146.556283
223,45000,1,2.293112566,146.5323693,1146.556283
224,46000,1,2.293112566,146.5323693,1146.556283
225,47000,1,2.293112566,146.5323693,1146.556283
226,48000,1,2.293112566,146.5323693,1146.556283
227,49000,1,2.293112566,146.5323693,1146.556283
228,50000,1,2.293112566,146.5323693,1146.556283
229,51000,1,2.293112566,146.5323693,1146.556283
230,52000,1,2.293112566,146.5323693,1146.556283
231,53000,1,2.293112566,146.5323693,1146.556283
232,54000,1,2.293112566,146.5323693,1146.556283
233,55000,1,2.293112566,146.5323693,1146.556283
234,56000,1,2.293112566,146.5323693,1146.556283
235,57000,1,2.293112566,146.5323693,1146.556283
236,58000,1,2.293112566,146.5323693,1146.556283
237,59000,1,2.293112566,146.5323693,1146.556283
238,60000,1,2.293112566,146.5323693,1146.556283
