,VSP_w,eng_on,mot_control,HVAC_adjust_rate,t_value,delta_elec_energy_rate
52,-58000,1,0,0.789233645,4.323164991,394.6168225
53,-57000,1,0,0.789233645,4.323164991,394.6168225
54,-56000,1,0,0.789233645,4.323164991,394.6168225
55,-55000,1,0,0.789233645,4.323164991,394.6168225
56,-54000,1,0,0.789233645,4.323164991,394.6168225
57,-53000,1,0,0.789233645,4.323164991,394.6168225
58,-52000,1,0,0.789233645,4.323164991,394.6168225
59,-51000,1,0,0.789233645,4.323164991,394.6168225
60,-50000,1,0,0.789233645,4.323164991,394.6168225
61,-49000,1,0,0.789233645,4.323164991,394.6168225
62,-48000,1,0,0.789233645,4.323164991,394.6168225
63,-47000,1,0,0.789233645,4.323164991,394.6168225
64,-46000,1,0,0.789233645,4.323164991,394.6168225
65,-45000,1,0,0.789233645,4.323164991,394.6168225
66,-44000,1,0,0.789233645,4.323164991,394.6168225
67,-43000,1,0,0.789233645,4.323164991,394.6168225
68,-42000,1,0,0.789233645,4.323164991,394.6168225
69,-41000,1,0,0.789233645,4.323164991,394.6168225
70,-40000,1,0,0.789233645,4.323164991,394.6168225
71,-39000,1,0,0.789233645,4.323164991,394.6168225
72,-38000,1,0,0.789233645,4.323164991,394.6168225
73,-37000,1,0,0.789233645,4.323164991,394.6168225
74,-36000,1,0,0.789233645,4.323164991,394.6168225
75,-35000,1,0,0.789233645,4.323164991,394.6168225
76,-34000,1,0,0.789233645,4.323164991,394.6168225
77,-33000,1,0,0.789233645,4.323164991,394.6168225
78,-32000,1,0,0.789233645,4.323164991,394.6168225
79,-31000,1,0,0.789233645,4.323164991,394.6168225
80,-30000,1,0,0.789233645,4.323164991,394.6168225
81,-29000,1,0,0.789233645,4.323164991,394.6168225
82,-28000,1,0,0.789233645,4.323164991,394.6168225
83,-27000,1,0,0.789233645,4.323164991,394.6168225
84,-26000,1,0,0.789233645,4.323164991,394.6168225
85,-25000,1,0,0.789233645,4.323164991,394.6168225
86,-24000,1,0,0.789233645,4.323164991,394.6168225
87,-23000,1,0,0.789233645,4.323164991,394.6168225
88,-22000,1,0,0.789233645,4.323164991,394.6168225
89,-21000,1,0,0.789233645,4.323164991,394.6168225
90,-20000,1,0,0.789233645,4.323164991,394.6168225
91,-19000,1,0,0.789233645,4.323164991,394.6168225
92,-18000,1,0,0.789233645,4.323164991,394.6168225
93,-17000,1,0,0.789233645,4.323164991,394.6168225
94,-16000,1,0,0.789233645,4.323164991,394.6168225
95,-15000,1,0,0.789233645,4.323164991,394.6168225
96,-14000,1,0,0.789233645,4.323164991,394.6168225
97,-11000,1,0,0.789233645,4.323164991,394.6168225
98,-12000,1,0,0.789233645,4.323164991,394.6168225
99,-13000,1,0,0.789233645,4.323164991,394.6168225
100,-60000,1,1,0,-0.918056397,0
101,-59000,1,1,0,-0.918056397,0
102,-58000,1,1,0,-0.918056397,0
103,-57000,1,1,0,-0.918056397,0
104,-56000,1,1,0,-0.918056397,0
105,-55000,1,1,0,-0.918056397,0
106,-54000,1,1,0,-0.918056397,0
107,-53000,1,1,0,-0.918056397,0
108,-52000,1,1,0,-0.918056397,0
109,-51000,1,1,0,-0.918056397,0
110,-50000,1,1,0,-0.918056397,0
111,-49000,1,1,0,-0.918056397,0
112,-48000,1,1,0,-0.918056397,0
113,-47000,1,1,0,-0.918056397,0
114,-46000,1,1,0,-0.918056397,0
115,-45000,1,1,0,-0.918056397,0
116,-44000,1,1,0,-0.918056397,0
117,-43000,1,1,0,-0.918056397,0
118,-42000,1,1,0,-0.918056397,0
119,-41000,1,1,0,-0.918056397,0
120,-40000,1,1,0,-0.918056397,0
121,-39000,1,1,0,-0.918056397,0
122,-38000,1,1,0,-0.918056397,0
123,-37000,1,1,0,-0.918056397,0
124,-36000,1,1,0,-0.918056397,0
125,-35000,1,1,0,-0.918056397,0
126,-34000,1,1,0,-0.918056397,0
127,-33000,1,1,0,-0.918056397,0
128,-32000,1,1,0,-0.918056397,0
129,-31000,1,1,0,-0.918056397,0
130,-30000,1,1,0,-0.918056397,0
131,-29000,1,1,0,-0.918056397,0
132,-28000,1,1,0,-0.918056397,0
133,-27000,1,1,0,-0.918056397,0
134,-26000,1,1,0,-0.918056397,0
135,-25000,1,1,0,-0.918056397,0
136,-24000,1,1,0,-0.918056397,0
137,-23000,1,1,0,-0.918056397,0
138,-22000,1,1,0,-0.918056397,0
139,-21000,1,1,0,-0.918056397,0
140,-20000,1,1,0,-0.918056397,0
141,-19000,1,1,0,-0.918056397,0
142,-18000,1,1,0,-0.918056397,0
143,-17000,1,1,0,-0.918056397,0
144,-16000,1,1,0,-0.918056397,0
145,-15000,1,1,0,-0.918056397,0
146,-14000,1,1,0,-0.918056397,0
147,-11000,1,1,0,-0.918056397,0
148,-12000,1,1,0,-0.918056397,0
149,-13000,1,1,0,-0.918056397,0
152,-10000,0,0,1.000076716,231.384761,500.038358
151,-9000,0,0,1.000076716,231.384761,500.038358
150,-8000,0,0,1.000076716,231.384761,500.038358
153,-8000,1,0,0.789233645,4.323164991,394.6168225
154,-9000,1,0,0.789233645,4.323164991,394.6168225
155,-10000,1,0,0.789233645,4.323164991,394.6168225
156,-8000,1,1,0,-0.918056397,0
157,-9000,1,1,0,-0.918056397,0
158,-10000,1,1,0,-0.918056397,0
161,-7000,0,0,1.027294311,511.2388229,513.6471555
160,-6000,0,0,1.027294311,511.2388229,513.6471555
159,-5000,0,0,1.027294311,511.2388229,513.6471555
162,-5000,1,0,3.206490859,11.9150308,1603.245429
163,-6000,1,0,3.206490859,11.9150308,1603.245429
164,-7000,1,0,3.206490859,11.9150308,1603.245429
165,-5000,1,1,0,-0.918056397,0
166,-6000,1,1,0,-0.918056397,0
167,-7000,1,1,0,-0.918056397,0
170,-4000,0,0,1.061920969,744.7088115,530.9604845
169,-3000,0,0,1.061920969,744.7088115,530.9604845
168,-2000,0,0,1.061920969,744.7088115,530.9604845
174,-2000,1,0,2.804785156,15.2935732,1402.392578
175,-3000,1,0,2.804785156,15.2935732,1402.392578
176,-4000,1,0,2.804785156,15.2935732,1402.392578
177,-2000,1,1,0,-0.918056397,0
178,-3000,1,1,0,-0.918056397,0
179,-4000,1,1,0,-0.918056397,0
182,-1000,0,0,1.089762959,479.1037966,544.8814795
181,0,0,0,1.089762959,479.1037966,544.8814795
180,1000,0,0,1.089762959,479.1037966,544.8814795
186,1000,1,0,0,-0.709376611,0
187,0,1,0,0,-0.709376611,0
188,-1000,1,0,0,-0.709376611,0
189,1000,1,1,0,-0.918056397,0
190,0,1,1,0,-0.918056397,0
191,-1000,1,1,0,-0.918056397,0
194,2000,0,0,1.256039493,7.297607611,628.0197465
193,3000,0,0,1.256039493,7.297607611,628.0197465
192,4000,0,0,1.256039493,7.297607611,628.0197465
198,4000,1,0,-0.82778147,-5.531256764,-413.890735
199,3000,1,0,-0.82778147,-5.531256764,-413.890735
200,2000,1,0,-0.82778147,-5.531256764,-413.890735
201,4000,1,1,0,-0.918056397,0
202,3000,1,1,0,-0.918056397,0
203,2000,1,1,0,-0.918056397,0
206,5000,0,0,1.500340935,5.447533897,750.1704675
205,6000,0,0,1.500340935,5.447533897,750.1704675
204,7000,0,0,1.500340935,5.447533897,750.1704675
210,7000,1,0,-0.629807551,-4.00204282,-314.9037755
211,6000,1,0,-0.629807551,-4.00204282,-314.9037755
212,5000,1,0,-0.629807551,-4.00204282,-314.9037755
213,7000,1,1,0,-0.470949907,0
214,6000,1,1,0,-0.470949907,0
215,5000,1,1,0,-0.470949907,0
218,8000,0,0,1.07544391,200.383733,537.721955
217,9000,0,0,1.07544391,200.383733,537.721955
216,10000,0,0,1.07544391,200.383733,537.721955
222,10000,1,0,-0.5736198,-4.324842772,-286.8099
223,9000,1,0,-0.5736198,-4.324842772,-286.8099
224,8000,1,0,-0.5736198,-4.324842772,-286.8099
225,10000,1,1,0,1.650328288,0
226,9000,1,1,0,1.650328288,0
227,8000,1,1,0,1.650328288,0
230,11000,0,1,1.383407156,160.2391891,691.703578
229,12000,0,1,1.383407156,160.2391891,691.703578
228,13000,0,1,1.383407156,160.2391891,691.703578
231,13000,1,0,0,0.045169293,0
232,12000,1,0,0,0.045169293,0
233,11000,1,0,0,0.045169293,0
234,13000,1,1,1.52687573,2.499326007,763.437865
235,12000,1,1,1.52687573,2.499326007,763.437865
236,11000,1,1,1.52687573,2.499326007,763.437865
239,14000,0,1,1.433949009,77.66677863,716.9745045
238,15000,0,1,1.433949009,77.66677863,716.9745045
237,16000,0,1,1.433949009,77.66677863,716.9745045
240,16000,1,0,0.498454714,8.695070278,249.227357
241,15000,1,0,0.498454714,8.695070278,249.227357
242,14000,1,0,0.498454714,8.695070278,249.227357
243,16000,1,1,1.721792397,5.039427283,860.8961985
244,15000,1,1,1.721792397,5.039427283,860.8961985
245,14000,1,1,1.721792397,5.039427283,860.8961985
248,17000,0,1,1.4089554,25.67325549,704.4777
247,18000,0,1,1.4089554,25.67325549,704.4777
246,19000,0,1,1.4089554,25.67325549,704.4777
249,20000,0,1,1.4089554,25.67325549,704.4777
250,21000,0,1,1.4089554,25.67325549,704.4777
251,22000,0,1,1.4089554,25.67325549,704.4777
252,23000,0,1,1.4089554,25.67325549,704.4777
253,24000,0,1,1.4089554,25.67325549,704.4777
254,25000,0,1,1.4089554,25.67325549,704.4777
